text,true emotion,GPT 4.1,GPT 4.1 mini,Gemini 2.5 Flash
這部電影的特效真的很爛。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我覺得我快掛了...,平淡語氣,悲傷語調,悲傷語調,悲傷語調
我最喜歡的咖啡廳要關了。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
你覺得人工智能會影響我們的工作嗎?,平淡語氣,疑問語調,疑問語調,疑問語調
有人在網上盜用我的照片!,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我剛發現我家後院有一棵會結果的蘋果樹噎!,驚奇語調,驚奇語調,驚奇語調,驚奇語調
我剛剛在公園看到一隻會說話的鸚鵡!,驚奇語調,驚奇語調,驚奇語調,驚奇語調
我終於存到錢買了一台新相機!,開心語調,開心語調,開心語調,開心語調
"這家店的衣服品質真的很差,穿沒幾次就壞了。",厭惡語調,憤怒語調,厭惡語調,憤怒語調
"我明天要去見未來的公公婆婆,好緊張...",平淡語氣,疑問語調,關切語調,關切語調
我最喜歡的作家去世了...,悲傷語調,悲傷語調,悲傷語調,悲傷語調
你覺得未來的交通工具會是什麼樣子?,平淡語氣,疑問語調,疑問語調,疑問語調
有人在網上散播我的個人信息!,憤怒語調,憤怒語調,憤怒語調,憤怒語調
"我剛剛在抽屜裡發現了一張舊彩券,居然中了大獎!",驚奇語調,驚奇語調,驚奇語調,
我的論文被東森新聞接受了!,開心語調,開心語調,開心語調,開心語調
這個政客的言論真的很令人反感。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我好像聽到房子裡有奇怪的聲音...,平淡語氣,驚奇語調,疑問語調,關切語調
"我最好的朋友要移民了,以後可能很難見面了。",悲傷語調,悲傷語調,悲傷語調,悲傷語調
你覺得學習一門新語言重要嗎?,平淡語氣,疑問語調,疑問語調,疑問語調
有人在公共場所亂丟垃圾!,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我剛剛在街上遇到了我的偶像!,驚奇語調,開心語調,驚奇語調,開心語調
我剛剛在後院發現了一個古老的時間膠囊!,驚奇語調,驚奇語調,驚奇語調,驚奇語調
我的寵物狗剛剛學會了一個新把戲!,開心語調,開心語調,開心語調,開心語調
這個網紅的行為真的很惹人厭。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
"我明天要坐雲霄飛車,但我很怕高...",平淡語氣,關切語調,關切語調,關切語調
我最喜歡的餐廳因為疫情關門了...,悲傷語調,悲傷語調,悲傷語調,悲傷語調
你覺得未來人類會移民火星嗎?,平淡語氣,疑問語調,疑問語調,疑問語調
有人在網上冒充我詐騙!,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我剛剛在舊衣服口袋裡找到一張中獎彩券!,驚奇語調,開心語調,驚奇語調,開心語調
我終於完成了我的第一本小說!,開心語調,開心語調,開心語調,開心語調
這家餐廳的衛生條件真的很糟糕。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我聽說附近可能有食人魚出沒...,平淡語氣,驚奇語調,疑問語調,關切語調
我養了十年的盆栽今天枯萎了。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
你覺得人工智能會取代藝術家嗎?,平淡語氣,疑問語調,疑問語調,疑問語調
有人偷了我辛苦栽種的花!,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我剛剛發現我家附近有一個秘密的地下隧道!,驚奇語調,驚奇語調,驚奇語調,驚奇語調
我今天終於拿到我的畢業證書了！,開心語調,開心語調,開心語調,開心語調
我昨天和陳安羽吵架了，現在很難過。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今天有個人插我隊，真的很不爽！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
最近工作壓力很大，我擔心自己做不好。,平淡語氣,悲傷語調,關切語調,關切語調
你知道嗎？他居然考上了台科大！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天的午餐味道好奇怪，有點想吐。,厭惡語調,厭惡語調,悲傷語調,關切語調
今天要不要一起去看電影？,平淡語氣,疑問語調,疑問語調,疑問語調
我剛剛中了彩卷，雖然只是1000塊錢！,開心語調,開心語調,開心語調,開心語調
最近的工作進度很糟糕，我覺得自己越來越沒自信。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
為什麼那麼多人都只會拖延，害我什麼都做不了！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
這週末要專題報告，我好怕報告的不好。,平淡語氣,悲傷語調,關切語調,悲傷語調
哇，他竟然一天內就完成了這麼多事情！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
這件外套穿起來好不舒服，我真的受不了。,厭惡語調,憤怒語調,憤怒語調,厭惡語調
我終於完成了這個專案，超開心的！,開心語調,開心語調,開心語調,開心語調
我的貓今天走丟了，我好擔心牠。,悲傷語調,關切語調,關切語調,關切語調
那個人竟然在我說話的時候打斷我，有夠白癡！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我對明天的面試真的很緊張，很怕沒辦法通過。,平淡語氣,關切語調,關切語調,關切語調
你竟然一次就解出這麼難的題！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
這一家的咖啡真的很難喝。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
下班後要不要一起去吃飯？,平淡語氣,疑問語調,開心語調,疑問語調
我真的很想放假，我不想再回到那種環境了。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我覺得現在這種情況真的很危險。,平淡語氣,關切語調,關切語調,關切語調
為什麼每次都是我被罵？,憤怒語調,悲傷語調,疑問語調,憤怒語調
你想聽一個好消息！,開心語調,開心語調,開心語調,開心語調
今天要做一些整理工作。,平淡語氣,平淡語氣,平淡語氣,平淡語氣
這份報告真的是太差了。,厭惡語調,憤怒語調,憤怒語調,憤怒語調
你覺得我應該要怎麼做才好？,平淡語氣,疑問語調,疑問語調,疑問語調
我居然忘了今天是我們的周年紀念日！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
我真的覺得一切都不順利。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我剛剛完成了一個大項目，感覺一身輕。,開心語調,開心語調,開心語調,開心語調
我今天又沒考好，真的很失望。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我對於這個我從未見過的情況感到非常不安。,平淡語氣,關切語調,關切語調,關切語調
我已經告訴他很多次了，他還是一直做錯。,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我剛剛收到了一封很好的消息！,開心語調,開心語調,開心語調,開心語調
我今天打算去超市。,平淡語氣,平淡語氣,平淡語氣,平淡語氣
這部電影的劇情真的不知道在演什麼。,厭惡語調,疑問語調,疑問語調,
你覺得這個主意怎麼樣？,平淡語氣,疑問語調,疑問語調,疑問語調
我竟然在海洋廣場遇到了我國中同學！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
我最近覺得天在跟我作對。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我今天買到了我很想看的書。,開心語調,開心語調,開心語調,開心語調
我很怕等下的的考試會考很爛。,平淡語氣,悲傷語調,關切語調,關切語調
為什麼每次都是我最後一個被通知。,憤怒語調,悲傷語調,疑問語調,憤怒語調
我打算下週去旅遊。,平淡語氣,平淡語氣,平淡語氣,平淡語氣
我竟然在路上看到一隻熊！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
我覺得我最近的努力都沒有得到回報。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我剛剛完成了一個很重要的項目。,開心語調,開心語調,開心語調,開心語調
幹！沈浩霖總是打斷我講話。,憤怒語調,憤怒語調,憤怒語調,憤怒語調
今天的天氣如何？,平淡語氣,疑問語調,疑問語調,疑問語調
我聽說最近有一個地方很危險，我有點擔心。,平淡語氣,關切語調,關切語調,關切語調
我真的受不了這種無聊的會議。,厭惡語調,厭惡語調,憤怒語調,憤怒語調
為什麼我的意見總是被忽略？,憤怒語調,疑問語調,疑問語調,悲傷語調
我最近學會了一個新的東西，有點爽。,開心語調,開心語調,開心語調,開心語調
昨天半夜的時候我聽到奇怪的聲音，我有點害怕。,平淡語氣,關切語調,關切語調,關切語調
我今天升主管了，超開心的！,開心語調,開心語調,開心語調,開心語調
我超不爽我王郁潔，他總是把工作推給我！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
那家餐廳的食物真的很難吃，害我一整天的心情都不好。,厭惡語調,,憤怒語調,憤怒語調
最近壓力好大，快死了。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我剛剛看到一隻貓從樹上跳了下來，還沒事欸！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
我週末可以幹嘛？,平淡語氣,疑問語調,疑問語調,疑問語調
我剛剛完成了我的第一個程式報告！,開心語調,開心語調,開心語調,開心語調
我有點擔心明天的考試，感覺準備得不夠好。,平淡語氣,關切語調,關切語調,關切語調
我真的受夠了他怎麼敢提這種要求啊！到底有沒有動腦？,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我覺得最近大家都好冷淡，都沒人理我。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
哇靠！我剛剛發現我中了發票！,驚奇語調,驚奇語調,驚奇語調,開心語調
我剛剛吃到一個噁心的漢堡，吃下去真的讓我差點吐出來。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
今天的天氣真好，很適合打球。,開心語調,開心語調,開心語調,開心語調
我最近壓力好大，覺得很累。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
你知道嗎？我剛剛碰到了一個我以為再也見不到的人欸！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
最近疫情好像又變嚴重了，我有點擔心。,平淡語氣,關切語調,關切語調,關切語調
我剛剛在比賽中拿到了第一名！,開心語調,開心語調,開心語調,開心語調
我今天去了一家餐廳，媽的！服務態度超差！,厭惡語調,憤怒語調,憤怒語調,憤怒語調
幹！我的手機又壞了，唉！,憤怒語調,憤怒語調,憤怒語調,
我最近感覺自己做什麼都很不順，有點沒自信。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
你知道嗎？我們以前的老師現在變成了作家！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
晚上有空嗎？要不要去看場電影。,平淡語氣,開心語調,關切語調,疑問語調
今天開會的時候，有人一直打斷我的話，真的很不爽。,厭惡語調,憤怒語調,憤怒語調,憤怒語調
我已經訂好了我們下週要住的旅館囉！超期待的！,開心語調,開心語調,開心語調,開心語調
我最近真的覺得生活失去了方向。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
最近聽說公司要裁員，我好怕自己會被波及。,平淡語氣,悲傷語調,關切語調,悲傷語調
我剛收到通知，我錄取了清大！,開心語調,開心語調,開心語調,開心語調
我真的受不了，每次都是我加班，別人都不做事！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我真的討厭那種一直吹自己有多強的人。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我的狗狗生病了，我好擔心牠。,悲傷語調,關切語調,關切語調,關切語調
你知道嗎？李維哲居然要去環遊世界了！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天晚上吃什麼好呢？,平淡語氣,疑問語調,疑問語調,平淡語氣
我今天遇到的那個人真的很沒品。,厭惡語調,厭惡語調,厭惡語調,憤怒語調
終於完成了這個專案，真是太開心了！,開心語調,開心語調,開心語調,開心語調
最近的事情讓我覺得壓力好大，總是沒有動力做事情。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我明天要去做健康檢查，有點緊張。,平淡語氣,關切語調,關切語調,關切語調
我終於把我的論文寫完了，真舒服！,開心語調,開心語調,開心語調,開心語調
幹！我的網路又斷了，這已經是今天的第三次了！,憤怒語調,,憤怒語調,憤怒語調
今天去的那家咖啡店，環境真的很糟糕。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我最近一直覺得心情很低落，什麼事情都提不起勁。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我剛剛發現我的老同學現在變成了明星！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
這個週末要不要一起去公園走走？,平淡語氣,開心語調,關切語調,疑問語調
那個人每次都說些很噁心的話，我真的很討厭他。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我剛換了新手機，超級喜歡！,開心語調,開心語調,開心語調,開心語調
最近工作一直不順利，覺得好累。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我剛才夢到被人追殺，幹超恐怖的！,平淡語氣,驚奇語調,驚奇語調,
我終於買到了那款限量版的鞋子！等了超久的！,開心語調,開心語調,開心語調,開心語調
我跟主管反應問題，結果他完全不想理我！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
那家餐廳的菜真的不行，油膩到不行。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
最近和家人的關係有點緊張，讓我心情很差。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
你知道嗎？張景祥居然辭職去開了自己的公司！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
你明天有空嗎？要不要一起去喝杯咖啡。,平淡語氣,開心語調,疑問語調,疑問語調
我真的無法忍受高芸茜，他真的超愛抱怨，一點小事都可以說一整天。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我今天終於完成了我的健身目標，我現在超級壯的，哈哈！,開心語調,開心語調,開心語調,開心語調
我朋友要搬到國外了，有點難過。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我剛剛看到新聞說最近治安不好，我有點怕出門。,平淡語氣,關切語調,關切語調,關切語調
我今天考試拿了滿分！,開心語調,開心語調,開心語調,開心語調
老闆居然讓我加班，明明說好下班就可以走的！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我剛剛去的那家店服務態度很差，真不想再去。,厭惡語調,憤怒語調,憤怒語調,憤怒語調
我今天真的過得很糟，所有事情都不順。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
你知道嗎？我剛碰到了一個小時候的朋友，真沒想到會在這裡遇見他！,驚奇語調,驚奇語調,驚奇語調,
這週末我們可以去爬山，你覺得怎麼樣？,平淡語氣,開心語調,開心語調,疑問語調
他講話真的有點賤，感覺一直諷刺人。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我今天完全沒想到她會送我禮物，超級開心的！,開心語調,開心語調,開心語調,開心語調
我感覺最近跟朋友的關係變得有點冷淡。,悲傷語調,悲傷語調,關切語調,悲傷語調
我今天要去看牙醫，從小到現在牙醫都是我的惡夢，好緊張喔！,平淡語氣,關切語調,關切語調,
我剛買了我一直想要的那台筆電，我存了很久的錢終於存到了，超舒服的！,開心語調,開心語調,開心語調,開心語調
我訂的快遞竟然被弄丟了，會不會太誇張！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
今天公司午餐的味道真的不行，有夠難吃。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我好想我的家人，已經好久沒見到他們了。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我剛收到一個來自陌生人寄來的包裹！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
下週有沒有時間一起去看展覽？,平淡語氣,疑問語調,疑問語調,疑問語調
那個人真的是超沒禮貌了，我沒辦法想像他父母怎麼教的。,厭惡語調,憤怒語調,憤怒語調,憤怒語調
我剛學會了一個新技能，現在超有成就感！,開心語調,開心語調,開心語調,開心語調
最近壓力好大，感覺自己快撐不住了。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我剛接到一個陌生電話，感覺是詐騙。,平淡語氣,疑問語調,疑問語調,關切語調
我終於學會游泳了！不會再被笑了！,開心語調,開心語調,開心語調,開心語調
我真的無法忍受他那副自以為是的樣子！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
今天吃的那個點心，真的超難吃的。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
最近的日子過得真是難熬，感覺什麼都不順。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我剛剛在全家（便利商店）遇到了以前的老師！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
你覺得這件事要怎麼處理比較好？,平淡語氣,疑問語調,疑問語調,疑問語調
這件衣服的材質摸起來不怎麼好，完全不想穿。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我今天發現了一家超棒的小吃店，食物很讚又便宜！,開心語調,開心語調,開心語調,開心語調
我覺得最近和朋友的關係越來越疏遠，心裡很難過。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我最近想換個工作。,平淡語氣,平淡語氣,平淡語氣,平淡語氣
我居然在IG上看到了我以前的同學。,驚奇語調,驚奇語調,驚奇語調,驚奇語調
最近好像都是一個人。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今天晚上有要幹嘛嗎？,平淡語氣,疑問語調,疑問語調,疑問語調
我達成了一個長期的目標，我非常滿意。,開心語調,開心語調,開心語調,開心語調
我很害怕未來要幹嘛。,平淡語氣,悲傷語調,悲傷語調,關切語調
我真的很討厭做這種繁瑣的工作。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我很不滿意這個決定。,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我今天打算要處理一些文件。,平淡語氣,平淡語氣,平淡語氣,平淡語氣
我沒想到我會得到這個獎項！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
我覺得我沒有拿到應有回報。,悲傷語調,憤怒語調,悲傷語調,憤怒語調
我剛剛收到了一個稱讚，真的很開心。,開心語調,開心語調,開心語調,開心語調
今天的工作還算順利。,平淡語氣,平淡語氣,平淡語氣,開心語調
這次演講我非常緊張。,平淡語氣,關切語調,疑問語調,
我真的不喜歡看無聊的節目。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
為什麼我總是要替別人的錯誤負責？,憤怒語調,疑問語調,疑問語調,憤怒語調
我終於升職了，真的很開心！,開心語調,開心語調,開心語調,開心語調
我最近在學習一門新技能。,平淡語氣,平淡語氣,平淡語氣,平淡語氣
我最近很低落，好像我什麼都做不好。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我發現陳彥樺竟然會說西班牙語！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
為什麼每次都要在最後一刻才改變計劃？,憤怒語調,疑問語調,疑問語調,憤怒語調
我想了解更多關於海洋生態的資訊。,平淡語氣,疑問語調,關切語調,平淡語氣
我擔心我沒辦法完成這個重要的項目。,平淡語氣,關切語調,關切語調,關切語調
我剛買了一部新的iPhone16 ，感覺真棒！,開心語調,開心語調,開心語調,開心語調
我最近和陳思愷的關係變得很緊張。,悲傷語調,關切語調,關切語調,關切語調
我竟然在旅行中遇到了我以前的同事！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
這裡的食物真的很難吃。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我最近在整理我的日程表。,平淡語氣,平淡語氣,平淡語氣,平淡語氣
我好怕這次考試失常。,平淡語氣,關切語調,關切語調,悲傷語調
今天的電影蠻好看的。,開心語調,開心語調,開心語調,開心語調
我最近總覺得很孤單。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我今天在街上看到一隻很大的狗。,驚奇語調,平淡語氣,平淡語氣,平淡語氣
這次的服務態度超爛。,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我在想要不要培養新的技能。,平淡語氣,疑問語調,疑問語調,
我好怕以後沒有工作。,平淡語氣,悲傷語調,悲傷語調,悲傷語調
我今天遇到了一個很久沒見的老朋友。,開心語調,平淡語氣,驚奇語調,開心語調
我覺得最近做什麼都好無助。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我的媽媽竟然為我準備了一個驚喜派對！,驚奇語調,驚奇語調,驚奇語調,開心語調
我買了新的書。,平淡語氣,平淡語氣,平淡語氣,平淡語氣
今天我收到了我夢寐以求的禮物！,開心語調,開心語調,開心語調,開心語調
我覺得最近的努力都沒有得到想要的結果。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我昨天在圖書館遇到了一位著名的作家。,驚奇語調,驚奇語調,驚奇語調,平淡語氣
為什麼每次都要等到最後一刻才解決問題？,憤怒語調,憤怒語調,疑問語調,憤怒語調
我在考慮換工作。,平淡語氣,平淡語氣,疑問語調,平淡語氣
我好怕在面試中表現不好。,平淡語氣,關切語調,關切語調,關切語調
我今天試了一個新的食譜，結果超好吃！,開心語調,開心語調,開心語調,開心語調
我最近很難找到可以休息的時間。,悲傷語調,悲傷語調,關切語調,關切語調
我竟然在IG上看到了一個非常奇怪的貼文。,驚奇語調,驚奇語調,驚奇語調,驚奇語調
為什麼我總是被忽視？,憤怒語調,悲傷語調,疑問語調,悲傷語調
我今天做了個關於工作的計劃。,平淡語氣,平淡語氣,平淡語氣,平淡語氣
我對新環境都會感到很不安。,平淡語氣,悲傷語調,關切語調,關切語調
我收到了朋友送的生日禮物，超開心的！,開心語調,開心語調,開心語調,開心語調
我最近感覺自己被朋友孤立了。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我昨天在街上碰到了我的偶像。,驚奇語調,驚奇語調,驚奇語調,開心語調
我非常反對這個新的政策。,厭惡語調,憤怒語調,憤怒語調,憤怒語調
我今天學到了很多新知識。,平淡語氣,開心語調,開心語調,開心語調
我最近有點擔心我的健康狀況。,平淡語氣,關切語調,關切語調,關切語調
我今天做了一件很有意義的事情。,開心語調,開心語調,開心語調,開心語調
最近一直覺得自己的心情處於低谷。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我在學校發現了一個非常有趣的社團。,驚奇語調,開心語調,驚奇語調,開心語調
為什麼每次都會有這麼多的麻煩？,憤怒語調,疑問語調,憤怒語調,
我最近在學習怎麼寫程式。,平淡語氣,平淡語氣,平淡語氣,平淡語氣
我和朋友之間的關係變得有點緊張。,悲傷語調,悲傷語調,關切語調,悲傷語調
我終於完成了我一直想做的項目！,開心語調,開心語調,開心語調,開心語調
我最近對我的工作環境非常不滿意。,憤怒語調,憤怒語調,憤怒語調,
我在圖書館找到了一本非常少見的書。,驚奇語調,驚奇語調,開心語調,驚奇語調
我對未來的計劃感到很焦慮。,平淡語氣,關切語調,關切語調,悲傷語調
我真的受夠了這些無聊的會議。,厭惡語調,憤怒語調,憤怒語調,厭惡語調
我正在整理我的書桌。,平淡語氣,平淡語氣,平淡語氣,平淡語氣
我今天獲得了一個獎！,開心語調,開心語調,開心語調,開心語調
我覺得自己在工作上沒有得到應有的認可。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我昨天看到了一條新聞，它讓我改變了我的生活。,驚奇語調,驚奇語調,關切語調,
總是有人在會議上打斷我的發言。,憤怒語調,憤怒語調,憤怒語調,
我今天去了超市。,平淡語氣,平淡語氣,平淡語氣,平淡語氣
我好怕會錯過截止日期。,平淡語氣,關切語調,關切語調,關切語調
我最近學會了一項新技能。,開心語調,開心語調,開心語調,
我最近很孤單。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我最近遇到了一位以前的老朋友。,驚奇語調,平淡語氣,平淡語氣,平淡語氣
我覺得自己總是被別人忽略。,憤怒語調,悲傷語調,悲傷語調,悲傷語調
我今天有點累。,平淡語氣,悲傷語調,平淡語氣,關切語調
我最近參加了一個有趣的營隊。,開心語調,開心語調,開心語調,開心語調
我對某些事情感到非常失望。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我發現了一個我從沒去過的地方。,驚奇語調,驚奇語調,驚奇語調,驚奇語調
我們昨天晚上玩了一個超好玩的桌遊！,開心語調,開心語調。,開心語調,開心語調
我昨天輸了比賽。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
隊友總是把我搞得很生氣。,憤怒語調,憤怒語調,憤怒語調,憤怒語調
最近我在玩一個新遊戲。,平淡語氣,平淡語氣,平淡語氣,平淡語氣
